datetime,Open,High,Low,Close,Volume
08.08.2019 16:00:00.000,202.147,202.448,202.027,202.138,27.355
08.08.2019 17:00:00.000,202.138,202.438,201.667,202.187,24.3619
08.08.2019 18:00:00.000,202.188,202.548,201.738,202.138,28.9012
08.08.2019 19:00:00.000,202.137,203.488,202.067,203.457,36.4745
09.08.2019 13:00:00.000,201.257,202.478,200.637,201.548,23.3693
09.08.2019 14:00:00.000,201.548,201.818,199.637,200.488,47.8943
09.08.2019 15:00:00.000,200.487,200.598,199.287,199.738,39.982
09.08.2019 16:00:00.000,199.707,201.868,199.657,201.237,36.3439
09.08.2019 17:00:00.000,201.238,202.397,201.068,201.787,33.8569
09.08.2019 18:00:00.000,201.788,202.428,201.577,202.008,28.5336
09.08.2019 19:00:00.000,202.007,202.738,200.828,201.147,35.586
12.08.2019 13:00:00.000,199.656,201.478,199.318,201.478,25.4066
12.08.2019 14:00:00.000,201.458,201.928,200.338,201.498,41.3889
12.08.2019 15:00:00.000,201.497,201.708,200.268,201.497,32.4812
12.08.2019 16:00:00.000,201.497,202.038,201.147,201.668,27.3267
12.08.2019 17:00:00.000,201.658,201.958,201.147,201.267,24.8497
12.08.2019 18:00:00.000,201.258,201.448,199.137,199.348,29.3949
12.08.2019 19:00:00.000,199.347,200.748,199.258,200.457,32.1197
13.08.2019 13:00:00.000,200.988,212.088,200.878,212.018,31.4794
13.08.2019 14:00:00.000,212.018,212.018,208.577,208.648,57.3822
13.08.2019 15:00:00.000,208.638,209.088,207.527,208.768,46.3466
13.08.2019 16:00:00.000,208.768,208.958,208.017,208.408,32.7257
13.08.2019 17:00:00.000,208.418,209.618,208.268,209.408,29.8603
13.08.2019 18:00:00.000,209.408,209.978,209.327,209.638,22.7322
13.08.2019 19:00:00.000,209.637,209.788,208.798,209.158,30.6235
14.08.2019 13:00:00.000,203.256,206.418,202.887,206.067,30.5853
14.08.2019 14:00:00.000,206.028,206.047,204.287,204.298,51.2612
14.08.2019 15:00:00.000,204.297,204.938,203.257,203.528,39.2966
14.08.2019 16:00:00.000,203.517,203.868,202.698,203.237,39.3311
14.08.2019 17:00:00.000,203.228,204.418,202.807,203.878,34.24
14.08.2019 18:00:00.000,203.878,203.968,202.567,202.978,33.3129
14.08.2019 19:00:00.000,202.998,203.937,202.588,202.777,48.2436
15.08.2019 13:00:00.000,203.548,205.098,202.037,203.488,32.9014
15.08.2019 14:00:00.000,203.488,203.718,201.667,202.048,48.5966
15.08.2019 15:00:00.000,202.057,202.178,200.497,202.137,43.8426
15.08.2019 16:00:00.000,202.138,202.658,201.817,202.148,37.6728
15.08.2019 17:00:00.000,202.147,202.618,199.718,200.188,36.5021
15.08.2019 18:00:00.000,200.188,201.088,199.878,200.698,44.3552
15.08.2019 19:00:00.000,200.698,202.468,200.698,201.728,43.5112
16.08.2019 13:00:00.000,204.228,204.978,203.837,204.678,17.3472
16.08.2019 14:00:00.000,204.697,206.728,204.417,206.688,35.1952
16.08.2019 15:00:00.000,206.688,207.138,205.798,206.038,30.9613
16.08.2019 16:00:00.000,206.028,206.318,205.468,206.168,22.7277
16.08.2019 17:00:00.000,206.167,207.118,206.147,206.828,18.2678
16.08.2019 18:00:00.000,206.838,206.848,206.088,206.128,18.1713
16.08.2019 19:00:00.000,206.108,206.928,206.057,206.387,26.4052
19.08.2019 13:00:00.000,210.618,212.708,210.007,212.068,19.8563
19.08.2019 14:00:00.000,212.067,212.208,211.108,211.927,28.3845
19.08.2019 15:00:00.000,211.927,212.158,211.568,211.718,20.8153
19.08.2019 16:00:00.000,211.728,211.918,211.377,211.898,16.9866
19.08.2019 17:00:00.000,211.897,212.098,211.748,211.828,13.2101
19.08.2019 18:00:00.000,211.838,211.858,210.897,211.058,15.2177
19.08.2019 19:00:00.000,211.078,211.338,210.137,210.395,21.3016
20.08.2019 13:00:00.000,210.718,211.728,210.497,210.958,16.419
20.08.2019 14:00:00.000,210.958,212.368,210.768,212.368,28.8351
20.08.2019 15:00:00.000,212.368,213.328,211.898,212.217,25.3856
20.08.2019 16:00:00.000,212.217,213.068,212.217,212.958,19.184
20.08.2019 17:00:00.000,212.967,213.017,211.257,211.658,18.1093
20.08.2019 18:00:00.000,211.658,211.698,210.857,211.428,24.5637
20.08.2019 19:00:00.000,211.428,211.558,210.367,210.367,28.9473
21.08.2019 13:00:00.000,212.848,213.238,212.388,213.128,20.4915
21.08.2019 14:00:00.000,213.128,213.408,212.848,213.187,27.8158
21.08.2019 15:00:00.000,213.187,213.628,212.908,213.317,21.659
21.08.2019 16:00:00.000,213.318,213.338,212.857,213.118,16.9338
21.08.2019 17:00:00.000,213.117,213.328,212.177,212.298,13.4503
21.08.2019 18:00:00.000,212.308,213.018,211.638,212.248,23.415
21.08.2019 19:00:00.000,212.238,212.678,212.088,212.668,24.6919
22.08.2019 13:00:00.000,213.127,214.418,212.988,214.247,19.5547
22.08.2019 14:00:00.000,214.247,214.288,210.997,211.128,40.0934
22.08.2019 15:00:00.000,211.128,212.578,210.738,212.058,32.7497
22.08.2019 16:00:00.000,212.068,212.617,212.008,212.248,21.4112
22.08.2019 17:00:00.000,212.248,213.108,212.198,212.728,17.3707
22.08.2019 18:00:00.000,212.737,212.838,212.308,212.748,19.1159
22.08.2019 19:00:00.000,212.767,213.278,212.258,212.507,28.0823
23.08.2019 13:00:00.000,209.348,210.308,209.098,209.668,22.8618
23.08.2019 14:00:00.000,209.687,212.028,209.337,211.087,43.6487
23.08.2019 15:00:00.000,211.087,211.387,203.497,203.788,49.798
23.08.2019 16:00:00.000,203.798,204.758,203.408,204.037,24.8624
23.08.2019 17:00:00.000,204.038,204.198,202.458,203.208,20.3945
23.08.2019 18:00:00.000,203.218,203.228,201.907,202.498,14.0771
23.08.2019 19:00:00.000,202.498,203.608,201.847,202.658,22.8455
26.08.2019 13:00:00.000,205.868,207.177,205.518,206.448,12.3664
26.08.2019 14:00:00.000,206.447,206.838,205.047,206.178,17.2826
26.08.2019 15:00:00.000,206.168,206.778,205.727,206.038,11.8857
26.08.2019 16:00:00.000,206.038,207.157,205.877,206.728,6.6008
26.08.2019 17:00:00.000,206.727,206.988,205.847,205.938,5.3398
26.08.2019 18:00:00.000,205.947,206.008,205.317,205.677,5.7766
26.08.2019 19:00:00.000,205.678,206.588,205.178,206.588,8.8939
27.08.2019 13:00:00.000,207.888,208.528,206.667,206.928,9.3778
